sourceKind,sourceFile,uid,name,rowKey,category,contributionKind,runtimeReadiness,confidence,needsEncounterEvidence,targetScope,targetText,statDependencies,usesFinalStats,gameFileEvidence,runtimeEvidence,remainingEvidence,needsRuntimeOwnership,values,snippet,provenance
battleImagine,BattleImagineDescriptions.json,2110034,Tina - Lower CD,battleImagine:2110034:1,cooldownAcceleration,accelerate,activeBuffOrAttrCandidate,high,false,unknown,,[],false,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine""]","[""targetSkillScopeMapping""]",true,[],Increase CD speed throughout the duration,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110042,Crimson Foxen - Haste,battleImagine:2110042:1,hasteStat,hasteEvidence,attrOrBuffEvidence,medium,false,unknown,,"[""haste""]",true,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine"",""finalCharacterStats""]","[""targetSkillScopeMapping""]",true,[],Increase Haste throughout the duration,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110056,Time Stasis,battleImagine:2110056:1,cooldownTextUnclassified,evidence,textOnly,medium,false,unknown,,[],false,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine""]","[""runtimeIdBridge""]",true,[],"Time Acceleration Decree"" cannot be added again","[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110060,Swift Vortex,battleImagine:2110060:1,hasteStat,hasteEvidence,attrOrBuffEvidence,medium,false,unknown,,"[""haste""]",true,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine"",""finalCharacterStats""]","[""targetSkillScopeMapping""]",true,[],Gain explosive Speed and accelerated Haste throughout the duration,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110103,Celestial Flier - Azure Gale,battleImagine:2110103:1,hasteStat,hasteEvidence,attrOrBuffEvidence,medium,false,unknown,,"[""haste""]",true,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine"",""finalCharacterStats""]","[""targetSkillScopeMapping""]",true,[],Greatly increases own haste,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110123,Flamehorn - Flame of Luck,battleImagine:2110123:1,flatCooldownReduce,flatReduceMs,activeBuffOrAttrCandidate,high,false,unknown,passive's,"[""lucky""]",true,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine"",""finalCharacterStats""]","[""targetSkillScopeMapping""]",true,[],Immediately gains Absolute Luck and reduces the passive's CD,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110129,Emerald Caprahorn - Haste Specialization,battleImagine:2110129:1,hasteStat,hasteEvidence,attrOrBuffEvidence,medium,false,unknown,,"[""haste""]",true,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine"",""finalCharacterStats""]","[""targetSkillScopeMapping""]",true,[],Increases Haste during the duration,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
battleImagine,BattleImagineDescriptions.json,2110165,Natsu - Fire Dragon's Roar,battleImagine:2110165:1,cooldownAcceleration,accelerate,activeBuffOrAttrCandidate,high,false,unknown,,[],false,"[""battleImagineDefinition"",""localizedDescription""]","[""battleImagineTier"",""equippedBattleImagine""]","[""targetSkillScopeMapping""]",true,[],Grants Fire Bonus and CD Boost.,"[{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""ModifierSourceIndex.json""},{""sourceFile"":""EffectSources.json""},{""sourceFile"":""EffectSources.json""}]"
factor,FactorDescriptions.json,3050140,Stormblade Rhapsody X3,factor:3050140:1,cooldownTextUnclassified,evidence,textOnly,medium,false,unknown,,[],false,"[""factorDefinition"",""factorGradeRows"",""localizedDescription""]","[""selectedFactorGradeItem"",""skillCastEvent""]","[""runtimeIdBridge""]",true,[],Recasting Moonstrike returns the Moonblade to the caster's position.,"[{""sourceFile"":""SeasonPhantomFactors.json""},{""sourceFile"":""SeasonPhantomFactors.json""}]"
factor,FactorDescriptions.json,3051110,Wind Knight X11,factor:3051110:1,cooldownAcceleration,accelerate,activeBuffOrAttrCandidate,high,false,unknown,,[],false,"[""factorDefinition"",""factorGradeRows"",""localizedDescription""]","[""selectedFactorGradeItem""]","[""targetSkillScopeMapping""]",true,"[{""value"":5,""unit"":""percent"",""raw"":""5%""}]","Every , Sharp Impact gains 5% charge (affected by CD Boost); Sharp Impact, Typhoon: Sharp Impact Illusion-Breaking DMG +.","[{""sourceFile"":""SeasonPhantomFactors.json""},{""sourceFile"":""SeasonPhantomFactors.json""}]"
factor,FactorDescriptions.json,3051400,Wind Knight Reality Factor X1,factor:3051400:1,flatCooldownReduce,flatReduceMs,eventEvidenceRequired,high,true,unknown,Galeform,[],false,"[""factorDefinition"",""factorGradeRows"",""localizedDescription""]","[""illusionEnergyTracker"",""selectedFactorGradeItem""]","[""controlledEncounterTriggerProof"",""targetSkillScopeMapping""]",true,"[{""value"":1,""unit"":""seconds"",""raw"":""1s""}]","When Illusion Energy reaches points, reduces the remaining CD of Galeform by 1s.","[{""sourceFile"":""SeasonPhantomFactors.json""},{""sourceFile"":""SeasonPhantomFactors.json""}]"
factor,FactorDescriptions.json,3052430,Frost Mage Reality Factor X4,factor:3052430:1,noCooldownTrigger,noCooldownTrigger,eventEvidenceRequired,high,true,unknown,,[],false,"[""factorDefinition"",""factorGradeRows"",""localizedDescription""]","[""illusionEnergyTracker"",""selectedFactorGradeItem"",""skillCastEvent""]","[""controlledEncounterTriggerProof"",""targetSkillScopeMapping""]",true,[],"When Illusion Energy reaches points, the next cast of Tidepool does not trigger CD, and its Illusion DMG increases by .","[{""sourceFile"":""SeasonPhantomFactors.json""},{""sourceFile"":""SeasonPhantomFactors.json""}]"
