imagineName,tier,activeEffect,passiveEffect,rarity,itemTier,battleSkill,monsterName,itemId,aoyiSkillId,skillEffectId,bridgeMethod,bridgeConflict,notes
Battle Imagine - Void Ogre,T0,"Stunt! Chaotic Barrage Summons Elite: Void Ogre to roar in place, and fire 6 whirlwind-like Void Projectiles at the target, dealing Attack DMG. Inflicts Void Corruption Decay on the target for 10s, dealing Magic DMG per second, up to 5 stacks. 100% of the DMG dealt over time is converted into your HP.",,purple,3,Stunt! Chaotic Barrage,Void Ogre,3000001,3910,391001,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Void Ogre,T1,"Stunt! Chaotic Barrage Summons Elite: Void Ogre to roar in place, and fire 6 whirlwind-like Void Projectiles at the target, dealing Attack DMG. Inflicts Void Corruption Decay on the target for 10s, dealing Magic DMG per second, up to 5 stacks. 100% of the DMG dealt over time is converted into your HP.",,purple,3,Stunt! Chaotic Barrage,Void Ogre,3000001,3910,391001,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Void Ogre,T2,"Stunt! Chaotic Barrage Summons Elite: Void Ogre to roar in place, and fire 6 whirlwind-like Void Projectiles at the target, dealing Attack DMG. Inflicts Void Corruption Decay on the target for 10s, dealing Magic DMG per second, up to 5 stacks. 100% of the DMG dealt over time is converted into your HP.",,purple,3,Stunt! Chaotic Barrage,Void Ogre,3000001,3910,391001,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Void Ogre,T3,"Stunt! Chaotic Barrage Summons Elite: Void Ogre to roar in place, and fire 6 whirlwind-like Void Projectiles at the target, dealing Attack DMG. Inflicts Void Corruption Decay on the target for 10s, dealing Magic DMG per second, up to 5 stacks. 100% of the DMG dealt over time is converted into your HP.",,purple,3,Stunt! Chaotic Barrage,Void Ogre,3000001,3910,391001,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Void Ogre,T4,"Stunt! Chaotic Barrage Summons Elite: Void Ogre to roar in place, and fire 6 whirlwind-like Void Projectiles at the target, dealing Attack DMG. Inflicts Void Corruption Decay on the target for 10s, dealing Magic DMG per second, up to 5 stacks. 100% of the DMG dealt over time is converted into your HP.",,purple,3,Stunt! Chaotic Barrage,Void Ogre,3000001,3910,391001,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Void Ogre,T5,"Stunt! Chaotic Barrage Summons Elite: Void Ogre to roar in place, and fire 6 whirlwind-like Void Projectiles at the target, dealing Attack DMG. Inflicts Void Corruption Decay on the target for 10s, dealing Magic DMG per second, up to 5 stacks. 100% of the DMG dealt over time is converted into your HP.",,purple,3,Stunt! Chaotic Barrage,Void Ogre,3000001,3910,391001,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Inferno Goblin Mage,T0,"Stunt! Falling Star Transforms into Elite: Inferno Goblin Mage and summons meteors from the sky, dealing Magic DMG.","Upon the skill cast, your Intellect is increased for a period.",purple,3,Stunt! Falling Star,Inferno Goblin Mage,3000003,3907,390701,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Inferno Goblin Mage,T1,"Stunt! Falling Star Transforms into Elite: Inferno Goblin Mage and summons meteors from the sky, dealing Magic DMG.","Upon the skill cast, your Intellect is increased for a period. Intellect Bonus: 2%",purple,3,Stunt! Falling Star,Inferno Goblin Mage,3000003,3907,390701,direct-skill-aoyi-item,,
Battle Imagine - Inferno Goblin Mage,T2,"Stunt! Falling Star Transforms into Elite: Inferno Goblin Mage and summons meteors from the sky, dealing Magic DMG.","Upon the skill cast, your Intellect is increased for a period. Intellect Bonus: 4%",purple,3,Stunt! Falling Star,Inferno Goblin Mage,3000003,3907,390701,direct-skill-aoyi-item,,
Battle Imagine - Inferno Goblin Mage,T3,"Stunt! Falling Star Transforms into Elite: Inferno Goblin Mage and summons meteors from the sky, dealing Magic DMG.","Upon the skill cast, your Intellect is increased for a period. Intellect Bonus: 6%",purple,3,Stunt! Falling Star,Inferno Goblin Mage,3000003,3907,390701,direct-skill-aoyi-item,,
Battle Imagine - Inferno Goblin Mage,T4,"Stunt! Falling Star Transforms into Elite: Inferno Goblin Mage and summons meteors from the sky, dealing Magic DMG.","Upon the skill cast, your Intellect is increased for a period. Intellect Bonus: 8%",purple,3,Stunt! Falling Star,Inferno Goblin Mage,3000003,3907,390701,direct-skill-aoyi-item,,
Battle Imagine - Inferno Goblin Mage,T5,"Stunt! Falling Star Transforms into Elite: Inferno Goblin Mage and summons meteors from the sky, dealing Magic DMG.","Upon the skill cast, your Intellect is increased for a period. Intellect Bonus: 10%",purple,3,Stunt! Falling Star,Inferno Goblin Mage,3000003,3907,390701,direct-skill-aoyi-item,,
Battle Imagine - Shadow Captain,T0,Stunt! Electro Bomb,"Upon the skill cast, the DMG dealt and healing of your Expertise Skill are increased for a period.",purple,3,Stunt! Electro Bomb,Shadow Captain,3000004,3913,391301,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Shadow Captain,T1,Stunt! Electro Bomb,"Upon the skill cast, the DMG dealt and healing of your Expertise Skill are increased for a period. Expertise Skill DMG/Healing Bonus: 3.2%",purple,3,Stunt! Electro Bomb,Shadow Captain,3000004,3913,391301,direct-skill-aoyi-item,,
Battle Imagine - Shadow Captain,T2,Stunt! Electro Bomb,"Upon the skill cast, the DMG dealt and healing of your Expertise Skill are increased for a period. Expertise Skill DMG/Healing Bonus: 6.4%",purple,3,Stunt! Electro Bomb,Shadow Captain,3000004,3913,391301,direct-skill-aoyi-item,,
Battle Imagine - Shadow Captain,T3,Stunt! Electro Bomb,"Upon the skill cast, the DMG dealt and healing of your Expertise Skill are increased for a period. Expertise Skill DMG/Healing Bonus: 9.6%",purple,3,Stunt! Electro Bomb,Shadow Captain,3000004,3913,391301,direct-skill-aoyi-item,,
Battle Imagine - Shadow Captain,T4,Stunt! Electro Bomb,"Upon the skill cast, the DMG dealt and healing of your Expertise Skill are increased for a period. Expertise Skill DMG/Healing Bonus: 12.8%",purple,3,Stunt! Electro Bomb,Shadow Captain,3000004,3913,391301,direct-skill-aoyi-item,,
Battle Imagine - Shadow Captain,T5,Stunt! Electro Bomb,"Upon the skill cast, the DMG dealt and healing of your Expertise Skill are increased for a period. Expertise Skill DMG/Healing Bonus: 16%",purple,3,Stunt! Electro Bomb,Shadow Captain,3000004,3913,391301,direct-skill-aoyi-item,,
